title,url
The Secret Garden Cookbook Recipes Inspired by Frances Hodgson Burnett's THE SECRET GARDEN by Amy Cotler- google books,https://books.google.com/books/about/The_Secret_Garden_Cookbook_Newly_Revised.html?id=DBbHDwAAQBAJ
Laura's Album A Remembrance Scrapbook of Laura Ingalls Wilder by William Anderson- google books,https://books.google.com/books/about/Laura_s_Album.html?id=_zTkqDlEV-UC&source=kp_cover
Quivers  by Robin Quivers- google books,https://books.google.com/books/about/Quivers.html?id=3Fj1h-gIbUsC
Moonspinners  by Mary Stewart- google books,https://books.google.com/books/about/The_Moonspinners.html?id=2L0U_gAACAAJ
Small Wonder Essays by Barbara Kingsolver- google books,https://books.google.com/books/about/Small_Wonder.html?id=6P0mCF64NywC
Worlds Enough & Time Five Tales of Speculative Fiction by Dan Simmons- google books,https://books.google.com/books/about/Worlds_Enough_Time.html?id=cPSMPwAACAAJ
The Cheese Monkeys A Novel in Two Semesters by Chip Kidd- google books,https://books.google.com/books/about/The_Cheese_Monkeys.html?id=7FjaKfNn-awC
Travels  by Michael Crichton- google books,https://books.google.com/books/about/Travels.html?id=oH8Y1zm3EBsC
Caesar A Novel by Colleen McCullough- google books,https://books.google.com/books/about/Caesar.html?id=3vy7GpMi0eUC
The Forever War  by Joe Haldeman- google books,https://books.google.com/books/about/The_Forever_War.html?id=qm2PPwAACAAJ
Amelia Bedelia Goes Camping  by Peggy Parish- google books,https://books.google.com/books/about/Amelia_Bedelia_Goes_Camping.html?id=U87VJzqo4pMC
The Secret Sister  by Elizabeth Lowell- google books,https://www.amazon.com/Secret-Sister-Elizabeth-Lowell/dp/0060511109
Amelia Bedelia Helps Out  by Peggy Parish- google books,https://books.google.com/books/about/Amelia_Bedelia_Helps_Out.html?id=IgvMMLd7iskC
Whirlpool  by Elizabeth Lowell- google books,https://books.google.com/books/about/Whirlpool.html?id=FrnsFG4_j1oC
"Teach Us, Amelia Bedelia  by Peggy Parish- google books",https://books.google.com/books/about/Teach_Us_Amelia_Bedelia.html?id=cUCJ5PmLkpMC
Cryptonomicon  by Neal Stephenson- google books,https://books.google.com/books/about/Cryptonomicon.html?id=dwAwSzmTHNEC
Falling Up Poems and Drawings by Shel Silverstein- google books,https://books.google.com/books/about/Falling_Up.html?id=XlrMDwAAQBAJ
Anansi Boys  by Neil Gaiman- google books,https://books.google.com/books/about/Anansi_Boys.html?id=jcZ4hIYNmoQC
Fragile Things Short Fictions and Wonders by Neil Gaiman- google books,https://books.google.com/books/about/Fragile_Things.html?id=drzuUVwZPSUC
What Went Wrong? The Clash Between Islam and Modernity in the Middle East by Bernard Lewis- google books,https://books.google.com/books/about/What_Went_Wrong.html?id=M78NnkvIX8IC
Letters from the Earth Uncensored Writings by Mark Twain- google books,https://www.amazon.com/Letters-Earth-Uncensored-Writings-Perennial/dp/0060518650
Savannah Blues A Novel by Mary Kay Andrews- google books,https://books.google.com/books/about/Savannah_Blues.html?id=tRW9ycK8kyAC
The Whipping Boy  by Sid Fleischman- google books,https://books.google.com/books/about/The_Whipping_Boy.html?id=zDV5UE7lQQkC
The Innovator's Dilemma The Revolutionary Book that Will Change the Way You Do Business by Clayton M. Christensen- google books,https://books.google.com/books/about/The_Innovator_s_Dilemma.html?id=rjdGhi2mmQkC
A Nose for Murder  by Lee Charles Kelley- google books,https://books.google.com/books/about/A_Nose_For_Murder.html?id=D8GHWftRJYAC
Happiness A Novel by Will Ferguson- google books,https://books.google.com/books/about/Happiness.html?id=qvK1SKcM2xIC
Size 12 Is Not Fat A Heather Wells Mystery by Meg Cabot- google books,https://books.google.com/books/about/Size_12_is_Not_Fat.html?id=E2oYxQEACAAJ
Warrior of the Light A Manual by Paulo Coelho- google books,https://books.google.com/books/about/Warrior_of_the_Light.html?id=W-tU4Z4cc4cC
The Devil and Miss Prym A Novel of Temptation by Paulo Coelho- google books,https://books.google.com/books/about/The_Devil_and_Miss_Prym.html?id=5x0y6cDeWL0C
"The Big Bing Black Holes of Time Management, Gaseous Executive Bodies, Exploding Careers, and Other Theories on the Origins of the Business Universe by Stanley Bing- google books",https://books.google.com/books/about/The_Big_Bing.html?id=XN_Fl1eKqLQC&source=kp_cover
One Hundred Years of Solitude  by Gabriel Garcia Marquez- google books,https://books.google.com/books/about/One_Hundred_Years_of_Solitude.html?id=pgPWOaOctq8C
Walt Whitman A Life by Justin Kaplan- google books,https://books.google.com/books/about/Walt_Whitman.html?id=QNjnyAEACAAJ
How to Make Love Like a Porn Star A Cautionary Tale by Jenna Jameson;Neil Strauss- google books,https://books.google.com/books/about/How_to_Make_Love_Like_a_Porn_Star.html?id=50QPajMcDzoC
The Outsider  by Richard Wright- google books,https://books.google.com/books/about/The_Outsider.html?id=3v1kAAAAMAAJ
1421 The Year China Discovered America by Gavin Menzies- google books,https://books.google.com/books/about/1421.html?id=lD7S4QLUjBkC
The Andromeda Strain  by Michael Crichton- google books,https://books.google.com/books/about/The_Andromeda_Strain.html?id=kbZxbyksU84C
Congo  by Michael Crichton- google books,https://books.google.com/books/about/Congo.html?id=mo1qRs2r8REC
Johnny and the Dead  by Terry Pratchett- google books,https://books.google.com/books/about/Johnny_and_the_Dead.html?id=CkC7F9Ssz_kC
Amelia Bedelia 40th Anniversary Collection  by Peggy Parish- google books,https://www.amazon.com/Amelia-Bedelia-40th-Anniversary/dp/B00A2K9J5A
The Girls of Lighthouse Lane #3 Lizabeth's Story by Thomas Kinkade;Erika Tamar- google books,https://books.google.com/books/about/The_Girls_of_Lighthouse_Lane_3.html?id=4swTRbqTEYMC
The Bradbury Chronicles The Life of Ray Bradbury by Sam Weller- google books,https://books.google.com/books/about/The_Bradbury_Chronicles.html?id=EiWCIK4vGSMC
Three Rotten Eggs  by Gregory Maguire- google books,https://books.google.com/books/about/Three_Rotten_Eggs.html?id=oiXftgAACAAJ
The Wicked Day Book Four of the Arthurian Saga by Mary Stewart- google books,https://books.google.com/books/about/The_Wicked_Day.html?id=hPQ86Tvn7JMC
The Game Penetrating the Secret Society of Pickup Artists by Neil Strauss- google books,https://books.google.com/books/about/The_Game.html?id=HU1ibR7utVoC
"The Lion, the Witch and the Wardrobe (picture book edition)  by C. S. Lewis- google books",https://books.google.com/books/about/The_Lion_the_Witch_and_the_Wardrobe.html?id=nwSVzwEACAAJ
Gold The Final Science Fiction Collection by Isaac Asimov- google books,https://books.google.com/books/about/Gold.html?id=zBqbPwAACAAJ
The Kindness of Strangers  by Katrina Kittle- google books,https://books.google.com/books/about/The_Kindness_of_Strangers.html?hl=ar&id=czq4OpoecmsC
Built to Last Successful Habits of Visionary Companies by Jim Collins;Jerry I. Porras- google books,https://books.google.com/books/about/Built_to_Last.html?id=oiwdqJ2JfrQC&hl=en
"Fluke Or, I Know Why the Winged Whale Sings by Christopher Moore- google books",https://books.google.com/books/about/Fluke.html?id=kdSkshe64PwC
Lord of Light  by Roger Zelazny- google books,https://books.google.com/books/about/Lord_of_Light.html?id=G7RfAAAAMAAJ
The Perennial Philosophy  by Aldous Huxley- google books,https://books.google.com/books/about/The_Perennial_Philosophy.html?id=6-cnAAAAYAAJ
A Crack in the Edge of the World America and the Great California Earthquake of 1906 by Simon Winchester- google books,https://books.google.com/books/about/A_Crack_in_the_Edge_of_the_World.html?id=Xm7cT36mwM0C
Dead Witch Walking  by Kim Harrison- google books,https://books.google.com/books/about/Dead_Witch_Walking.html?id=9t9lIIqxgTwC
"The Good, the Bad, and the Undead  by Kim Harrison- google books",https://books.google.com/books/about/The_Good_the_Bad_and_the_Undead.html?id=c2MDWhnkdMoC
"Men Are from Mars, Women Are from Venus The Classic Guide to Understanding the Opposite Sex by John Gray- google books",https://books.google.com/books?id=MUw_dAtcRjEC
Sabriel (adult)  by Garth Nix- google books,https://books.google.com/books?id=Gcp9fCKSGLsC
Slouching Toward Nirvana New Poems by Charles Bukowski- google books,https://books.google.com/books/about/Slouching_Toward_Nirvana.html?id=DnM3SzFW2_wC
